Biquíni Erika,Preto,BI2317PT-14
Biquíni Cris,Preto,BI2309PT-10
Biquíni Clara Dupla Face,Dogs,BI2114DO-10
Biquíni Erika,Pipoca Doce,BI2417PD-10
Biquíni Erika,Pipoca Doce,BI2417PD-14
Biquíni Amora,Vermelho,BI2423VM-14
